"","police_dist","year","ped_cyc","crashes","injuries_total","injuries_fatal","injuries_incapacitating","injuries_non_incapacitating","injuries_reported_not_evident"
"497","4","2019","no",4464,955,6,94,510,345
"498","4","2019","yes",133,122,3,20,74,25
"499","5","2018","no",2546,524,4,45,277,198
"500","5","2018","yes",74,66,0,10,43,13
"501","5","2019","no",2550,640,4,48,364,224
"502","5","2019","yes",69,57,1,7,42,7
"503","6","2018","no",4865,973,2,68,489,414
"504","6","2018","yes",196,187,3,31,107,46
"505","6","2019","no",4841,1009,3,75,556,375
"506","6","2019","yes",199,175,4,30,104,37
"507","7","2018","no",2876,729,9,75,403,242
"508","7","2018","yes",127,125,4,27,72,22
"509","7","2019","no",2963,783,2,53,424,304
"510","7","2019","yes",123,113,3,26,71,13
"511","8","2018","no",9849,1426,6,145,816,459
"512","8","2018","yes",297,271,7,56,170,38
"513","8","2019","no",9669,1376,2,146,762,466
"514","8","2019","yes",267,224,1,47,137,39
"515","9","2018","no",5816,963,7,86,536,334
"516","9","2018","yes",269,221,1,39,140,41
"517","9","2019","no",6016,883,2,86,512,283
"518","9","2019","yes",237,197,2,32,129,34
"519",NA,"2018","no",23,1,0,0,0,1
"520",NA,"2019","no",36,6,0,1,4,1
"521","1","2020","no",3035,509,3,61,289,156
"522","1","2020","yes",129,94,2,18,53,21
"523","10","2020","no",3057,612,4,80,324,204
"524","10","2020","yes",118,114,2,23,67,22
"525","11","2020","no",4191,1213,8,127,739,339
"526","11","2020","yes",191,177,7,34,110,26
"527","12","2020","no",3881,651,2,47,365,237
"528","12","2020","yes",226,177,2,28,121,26
"529","14","2020","no",2317,371,4,35,205,127
"530","14","2020","yes",147,116,1,15,78,22
"531","15","2020","no",2809,667,2,61,423,181
"532","15","2020","yes",92,90,0,28,51,11
"533","16","2020","no",4012,656,1,83,355,217
"534","16","2020","yes",145,119,2,21,79,17
"535","17","2020","no",2798,385,2,43,203,137
"536","17","2020","yes",149,123,1,24,78,20
"537","18","2020","no",2956,409,4,35,243,127
"538","18","2020","yes",226,173,1,22,131,19
"539","19","2020","no",2863,369,2,46,193,128
"540","19","2020","yes",261,218,0,28,140,50
"541","2","2020","no",2688,613,2,53,367,191
"542","2","2020","yes",100,85,1,16,51,17
"543","20","2020","no",1491,214,0,23,105,86
"544","20","2020","yes",80,69,2,13,43,11
"545","22","2020","no",3029,615,7,49,332,227
"546","22","2020","yes",73,57,2,10,34,11
"547","24","2020","no",2220,217,2,24,121,70
"548","24","2020","yes",116,100,0,11,69,20
"549","25","2020","no",4756,714,1,62,432,219
"550","25","2020","yes",174,145,0,23,100,22
"551","3","2020","no",2997,741,4,77,426,234
"552","3","2020","yes",100,92,1,21,52,18
"553","4","2020","no",3503,802,10,88,473,231
"554","4","2020","yes",78,70,0,18,44,8
"555","5","2020","no",2181,520,4,50,345,121
"556","5","2020","yes",49,47,0,8,30,9
"557","6","2020","no",3938,940,10,65,539,326
"558","6","2020","yes",126,118,1,25,78,14
"559","7","2020","no",2903,776,5,76,422,273
"560","7","2020","yes",103,90,1,22,53,14
"561","8","2020","no",6491,1092,14,124,600,354
"562","8","2020","yes",168,140,2,26,96,16
"563","9","2020","no",3892,714,6,85,406,217
"564","9","2020","yes",149,126,2,25,85,14
"565",NA,"2020","no",20,2,0,0,1,1
"566",NA,"2020","yes",1,1,0,0,1,0
