"","tract","year","ped_cyc","crashes","injuries_total","injuries_fatal","injuries_incapacitating","injuries_non_incapacitating","injuries_reported_not_evident"
"108","17031010501","2017","yes",2,2,0,2,0,0
"109","17031010502","2009","no",50,4,0,0,1,3
"110","17031010502","2009","yes",5,5,0,0,2,3
"111","17031010502","2010","no",49,6,0,1,0,5
"112","17031010502","2010","yes",5,5,0,2,1,2
"113","17031010502","2011","no",30,3,0,0,3,0
"114","17031010502","2011","yes",4,3,0,2,0,1
"115","17031010502","2012","no",44,8,0,2,2,4
"116","17031010502","2012","yes",4,3,0,1,1,1
"117","17031010502","2013","no",46,6,0,1,2,3
"118","17031010502","2013","yes",2,2,0,0,1,1
"119","17031010502","2014","no",49,3,0,0,2,1
"120","17031010502","2014","yes",3,3,0,0,1,2
"121","17031010502","2015","no",34,0,0,0,0,0
"122","17031010502","2015","yes",4,4,0,0,4,0
"123","17031010502","2016","no",41,4,0,0,2,2
"124","17031010502","2016","yes",3,3,0,0,2,1
"125","17031010502","2017","no",38,9,0,0,3,6
"126","17031010502","2017","yes",3,3,0,0,2,1
"127","17031010503","2009","no",62,7,0,2,3,2
"128","17031010503","2009","yes",8,10,0,0,5,5
"129","17031010503","2010","no",48,4,0,0,1,3
"130","17031010503","2010","yes",7,7,0,1,3,3
"131","17031010503","2011","no",49,9,0,1,3,5
"132","17031010503","2011","yes",2,2,0,0,0,2
"133","17031010503","2012","no",45,9,0,0,4,5
"134","17031010503","2012","yes",4,4,0,1,2,1
"135","17031010503","2013","no",44,4,0,1,0,3
"136","17031010503","2013","yes",4,4,0,0,3,1
"137","17031010503","2014","no",46,11,0,1,7,3
"138","17031010503","2015","no",32,3,0,1,0,2
"139","17031010503","2015","yes",5,5,0,0,4,1
"140","17031010503","2016","no",46,4,0,2,1,1
"141","17031010503","2016","yes",4,4,0,1,2,1
"142","17031010503","2017","no",55,11,0,3,4,4
"143","17031010503","2017","yes",4,4,0,0,3,1
"144","17031010600","2009","no",66,5,0,0,3,2
"145","17031010600","2009","yes",9,8,2,1,2,5
"146","17031010600","2010","no",62,9,1,0,2,7
"147","17031010600","2010","yes",7,7,0,2,3,2
"148","17031010600","2011","no",64,7,0,2,4,1
"149","17031010600","2011","yes",5,5,0,0,4,1
"150","17031010600","2012","no",61,18,0,3,10,5
"151","17031010600","2012","yes",5,5,0,1,3,1
"152","17031010600","2013","no",66,3,0,0,0,3
"153","17031010600","2013","yes",6,5,0,1,0,4
"154","17031010600","2014","no",68,3,0,0,2,1
"155","17031010600","2014","yes",3,3,0,0,1,2
"156","17031010600","2015","no",67,2,0,0,1,1
"157","17031010600","2015","yes",8,8,0,2,6,0
"158","17031010600","2016","no",68,7,0,0,6,1
"159","17031010600","2016","yes",11,10,1,1,7,2
"160","17031010600","2017","no",64,3,0,0,3,0
"161","17031010600","2017","yes",7,7,0,0,5,2
"162","17031010701","2009","no",109,17,0,0,13,4
"163","17031010701","2009","yes",5,3,0,1,1,1
"164","17031010701","2010","no",90,11,0,0,7,4
"165","17031010701","2010","yes",3,3,0,0,1,2
