"","commarea","year","ped_cyc","crashes","injuries_total","injuries_fatal","injuries_incapacitating","injuries_non_incapacitating","injuries_reported_not_evident"
"88","AUBURN GRESHAM","2016","yes",46,41,1,6,16,19
"89","AUBURN GRESHAM","2017","no",1214,292,2,26,130,136
"90","AUBURN GRESHAM","2017","yes",46,47,0,5,29,13
"91","AUSTIN","2009","no",3197,747,7,46,373,328
"92","AUSTIN","2009","yes",170,176,1,26,84,66
"93","AUSTIN","2010","no",3104,771,4,75,368,328
"94","AUSTIN","2010","yes",195,198,3,22,93,83
"95","AUSTIN","2011","no",3036,788,6,59,417,312
"96","AUSTIN","2011","yes",188,190,2,19,95,76
"97","AUSTIN","2012","no",3001,762,7,79,389,294
"98","AUSTIN","2012","yes",182,180,1,19,99,62
"99","AUSTIN","2013","no",3004,664,2,53,293,318
"100","AUSTIN","2013","yes",185,180,0,22,109,49
"101","AUSTIN","2014","no",2995,725,2,64,358,303
"102","AUSTIN","2014","yes",156,152,3,31,88,33
"103","AUSTIN","2015","no",2403,502,0,56,239,207
"104","AUSTIN","2015","yes",98,98,2,28,45,25
"105","AUSTIN","2016","no",2448,568,2,55,296,217
"106","AUSTIN","2016","yes",93,91,2,10,39,42
"107","AUSTIN","2017","no",3823,935,3,70,467,398
"108","AUSTIN","2017","yes",157,158,4,37,90,31
"109","AVALON PARK","2009","no",386,127,2,16,74,37
"110","AVALON PARK","2009","yes",11,11,0,2,5,4
"111","AVALON PARK","2010","no",365,110,0,8,54,48
"112","AVALON PARK","2010","yes",12,13,0,4,7,2
"113","AVALON PARK","2011","no",364,136,0,9,77,50
"114","AVALON PARK","2011","yes",14,14,0,1,11,2
"115","AVALON PARK","2012","no",351,91,0,7,57,27
"116","AVALON PARK","2012","yes",11,10,1,2,7,1
"117","AVALON PARK","2013","no",356,129,4,6,82,41
"118","AVALON PARK","2013","yes",15,14,0,3,9,2
"119","AVALON PARK","2014","no",358,115,1,12,59,44
"120","AVALON PARK","2014","yes",15,16,0,1,8,7
"121","AVALON PARK","2015","no",289,91,0,10,48,33
"122","AVALON PARK","2015","yes",6,6,0,1,4,1
"123","AVALON PARK","2016","no",248,58,1,4,36,18
"124","AVALON PARK","2016","yes",10,9,2,1,3,5
"125","AVALON PARK","2017","no",366,118,2,3,58,57
"126","AVALON PARK","2017","yes",12,11,2,2,5,4
"127","AVONDALE","2009","no",1401,219,1,17,107,95
"128","AVONDALE","2009","yes",64,66,0,11,30,25
"129","AVONDALE","2010","no",1395,260,1,16,125,119
"130","AVONDALE","2010","yes",83,83,0,10,43,30
"131","AVONDALE","2011","no",1464,255,0,26,122,107
"132","AVONDALE","2011","yes",65,67,0,5,41,21
"133","AVONDALE","2012","no",1389,275,4,25,123,127
"134","AVONDALE","2012","yes",66,66,0,11,33,22
"135","AVONDALE","2013","no",1380,239,1,29,113,97
"136","AVONDALE","2013","yes",82,81,1,10,46,25
"137","AVONDALE","2014","no",1410,192,0,25,105,62
"138","AVONDALE","2014","yes",66,65,0,5,45,15
"139","AVONDALE","2015","no",911,127,1,13,59,55
"140","AVONDALE","2015","yes",29,26,2,3,14,9
"141","AVONDALE","2016","no",883,119,1,16,64,39
"142","AVONDALE","2016","yes",24,20,2,4,7,9
"143","AVONDALE","2017","no",1258,180,1,20,84,76
"144","AVONDALE","2017","yes",38,35,1,4,19,12
"145","BELMONT CRAGIN","2009","no",2114,356,0,41,152,163
"146","BELMONT CRAGIN","2009","yes",115,118,1,19,53,46
"147","BELMONT CRAGIN","2010","no",1882,299,4,40,140,119
"148","BELMONT CRAGIN","2010","yes",116,113,0,18,49,46
"149","BELMONT CRAGIN","2011","no",1694,310,0,34,157,119
"150","BELMONT CRAGIN","2011","yes",97,100,1,17,50,33
"151","BELMONT CRAGIN","2012","no",1738,304,2,34,146,124
"152","BELMONT CRAGIN","2012","yes",101,92,1,9,49,34
"153","BELMONT CRAGIN","2013","no",1845,295,0,30,114,151
"154","BELMONT CRAGIN","2013","yes",98,99,1,14,57,28
"155","BELMONT CRAGIN","2014","no",1810,281,1,42,135,104
"156","BELMONT CRAGIN","2014","yes",98,92,1,13,49,30
"157","BELMONT CRAGIN","2015","no",988,113,0,12,49,52
"158","BELMONT CRAGIN","2015","yes",52,45,2,9,21,15
"159","BELMONT CRAGIN","2016","no",895,134,1,26,49,59
"160","BELMONT CRAGIN","2016","yes",50,53,0,5,26,22
"161","BELMONT CRAGIN","2017","no",1459,273,3,39,143,91
"162","BELMONT CRAGIN","2017","yes",55,55,0,9,33,13
"163","BEVERLY","2009","no",469,114,1,12,38,64
"164","BEVERLY","2009","yes",20,20,0,3,10,7
"165","BEVERLY","2010","no",443,119,0,6,58,55
"166","BEVERLY","2010","yes",14,15,0,1,6,8
"167","BEVERLY","2011","no",464,81,1,6,31,44
"168","BEVERLY","2011","yes",13,13,0,2,6,5
"169","BEVERLY","2012","no",417,102,0,5,39,58
"170","BEVERLY","2012","yes",10,11,0,2,4,5
"171","BEVERLY","2013","no",480,121,0,2,68,51
"172","BEVERLY","2013","yes",12,12,0,1,5,6
"173","BEVERLY","2014","no",476,106,0,14,50,42
