"","commarea","year","ped_cyc","crashes","injuries_total","injuries_fatal","injuries_incapacitating","injuries_non_incapacitating","injuries_reported_not_evident"
"459","FULLER PARK","2013","yes",6,6,0,2,4,0
"460","FULLER PARK","2014","no",609,191,1,21,125,45
"461","FULLER PARK","2014","yes",8,8,0,0,4,4
"462","FULLER PARK","2015","no",587,141,0,13,90,38
"463","FULLER PARK","2015","yes",3,4,0,1,2,1
"464","FULLER PARK","2016","no",603,199,3,13,163,23
"465","FULLER PARK","2016","yes",3,3,0,2,0,1
"466","FULLER PARK","2017","no",748,221,3,12,152,57
"467","FULLER PARK","2017","yes",9,9,0,0,8,1
"468","GAGE PARK","2009","no",800,147,1,8,68,71
"469","GAGE PARK","2009","yes",47,49,0,5,18,26
"470","GAGE PARK","2010","no",769,155,0,14,62,79
"471","GAGE PARK","2010","yes",39,41,0,4,18,19
"472","GAGE PARK","2011","no",710,170,0,16,68,86
"473","GAGE PARK","2011","yes",31,29,1,4,13,12
"474","GAGE PARK","2012","no",763,149,0,10,84,55
"475","GAGE PARK","2012","yes",29,27,0,3,13,11
"476","GAGE PARK","2013","no",751,146,1,14,65,67
"477","GAGE PARK","2013","yes",40,39,0,3,24,12
"478","GAGE PARK","2014","no",775,145,0,36,64,45
"479","GAGE PARK","2014","yes",39,36,1,4,23,9
"480","GAGE PARK","2015","no",382,67,1,1,39,27
"481","GAGE PARK","2015","yes",16,15,0,1,10,4
"482","GAGE PARK","2016","no",366,80,0,6,43,31
"483","GAGE PARK","2016","yes",18,17,0,2,11,4
"484","GAGE PARK","2017","no",799,113,0,6,69,38
"485","GAGE PARK","2017","yes",25,25,1,4,18,3
"486","GARFIELD RIDGE","2009","no",1192,269,0,29,94,146
"487","GARFIELD RIDGE","2009","yes",37,38,0,8,13,17
"488","GARFIELD RIDGE","2010","no",1146,261,3,25,114,122
"489","GARFIELD RIDGE","2010","yes",31,30,0,4,12,14
"490","GARFIELD RIDGE","2011","no",1230,224,2,12,109,103
"491","GARFIELD RIDGE","2011","yes",36,33,0,6,11,16
"492","GARFIELD RIDGE","2012","no",1284,253,0,22,107,124
"493","GARFIELD RIDGE","2012","yes",24,22,1,0,14,8
"494","GARFIELD RIDGE","2013","no",1250,243,1,14,115,114
"495","GARFIELD RIDGE","2013","yes",37,37,2,7,17,13
"496","GARFIELD RIDGE","2014","no",1251,195,0,8,87,100
"497","GARFIELD RIDGE","2014","yes",33,31,1,5,20,6
"498","GARFIELD RIDGE","2015","no",912,125,2,16,61,48
"499","GARFIELD RIDGE","2015","yes",19,18,0,1,13,4
"500","GARFIELD RIDGE","2016","no",815,117,0,9,50,58
"501","GARFIELD RIDGE","2016","yes",24,25,1,2,9,14
"502","GARFIELD RIDGE","2017","no",1182,234,4,22,128,84
"503","GARFIELD RIDGE","2017","yes",30,30,2,4,15,11
"504","GRAND BOULEVARD","2009","no",440,121,0,9,67,45
"505","GRAND BOULEVARD","2009","yes",31,33,0,7,20,6
"506","GRAND BOULEVARD","2010","no",465,190,1,10,88,92
"507","GRAND BOULEVARD","2010","yes",38,38,0,5,26,7
"508","GRAND BOULEVARD","2011","no",432,130,0,15,67,48
"509","GRAND BOULEVARD","2011","yes",23,23,0,4,9,10
"510","GRAND BOULEVARD","2012","no",422,188,2,19,74,95
"511","GRAND BOULEVARD","2012","yes",26,27,0,3,16,8
"512","GRAND BOULEVARD","2013","no",439,179,1,29,95,55
"513","GRAND BOULEVARD","2013","yes",22,22,0,2,14,6
"514","GRAND BOULEVARD","2014","no",467,139,0,10,69,60
"515","GRAND BOULEVARD","2014","yes",21,21,1,2,13,6
"516","GRAND BOULEVARD","2015","no",276,89,0,6,49,34
"517","GRAND BOULEVARD","2015","yes",11,11,0,3,8,0
"518","GRAND BOULEVARD","2016","no",259,103,1,8,49,46
"519","GRAND BOULEVARD","2016","yes",8,8,0,4,1,3
"520","GRAND BOULEVARD","2017","no",556,189,0,14,99,76
"521","GRAND BOULEVARD","2017","yes",15,13,0,1,9,3
"522","GREATER GRAND CROSSING","2009","no",1584,541,7,49,269,223
"523","GREATER GRAND CROSSING","2009","yes",65,64,0,12,33,19
"524","GREATER GRAND CROSSING","2010","no",1402,572,7,41,336,195
"525","GREATER GRAND CROSSING","2010","yes",85,94,1,10,50,34
"526","GREATER GRAND CROSSING","2011","no",1420,503,4,48,253,202
"527","GREATER GRAND CROSSING","2011","yes",64,67,0,8,35,24
"528","GREATER GRAND CROSSING","2012","no",1451,469,1,28,248,193
"529","GREATER GRAND CROSSING","2012","yes",56,54,1,10,23,21
"530","GREATER GRAND CROSSING","2013","no",1460,481,0,39,247,195
"531","GREATER GRAND CROSSING","2013","yes",51,52,0,5,26,21
"532","GREATER GRAND CROSSING","2014","no",1551,532,3,36,289,207
"533","GREATER GRAND CROSSING","2014","yes",51,52,0,3,38,11
"534","GREATER GRAND CROSSING","2015","no",1235,314,3,34,185,95
"535","GREATER GRAND CROSSING","2015","yes",20,20,1,4,11,5
"536","GREATER GRAND CROSSING","2016","no",979,281,3,28,178,75
"537","GREATER GRAND CROSSING","2016","yes",16,15,1,6,8,1
"538","GREATER GRAND CROSSING","2017","no",1769,534,4,62,291,181
"539","GREATER GRAND CROSSING","2017","yes",67,67,1,14,42,11
"540","HEGEWISCH","2009","no",186,65,0,8,37,20
"541","HEGEWISCH","2009","yes",2,2,0,0,1,1
"542","HEGEWISCH","2010","no",158,47,0,4,35,8
"543","HEGEWISCH","2010","yes",3,3,0,1,1,1
"544","HEGEWISCH","2011","no",189,53,0,5,34,14
"545","HEGEWISCH","2011","yes",3,3,0,0,1,2
"546","HEGEWISCH","2012","no",180,42,0,5,29,8
"547","HEGEWISCH","2012","yes",4,4,0,0,4,0
"548","HEGEWISCH","2013","no",195,42,0,4,25,13
"549","HEGEWISCH","2013","yes",6,6,0,1,3,2
"550","HEGEWISCH","2014","no",206,69,1,6,37,26
"551","HEGEWISCH","2014","yes",4,4,0,1,1,2
"552","HEGEWISCH","2015","no",123,28,1,2,22,4
"553","HEGEWISCH","2015","yes",4,4,0,0,3,1
"554","HEGEWISCH","2016","no",114,48,0,11,26,11
"555","HEGEWISCH","2016","yes",2,2,0,0,0,2
"556","HEGEWISCH","2017","no",201,48,1,3,28,17
"557","HEGEWISCH","2017","yes",1,1,0,0,1,0
"558","HERMOSA","2009","no",403,73,0,6,37,30
"559","HERMOSA","2009","yes",24,24,0,1,9,14
"560","HERMOSA","2010","no",417,48,2,1,25,22
"561","HERMOSA","2010","yes",27,28,0,2,17,9
"562","HERMOSA","2011","no",374,56,2,8,24,24
"563","HERMOSA","2011","yes",30,33,0,4,23,6
"564","HERMOSA","2012","no",430,59,0,8,31,20
"565","HERMOSA","2012","yes",16,16,0,1,7,8
"566","HERMOSA","2013","no",408,55,0,4,29,22
"567","HERMOSA","2013","yes",21,18,0,2,9,7
"568","HERMOSA","2014","no",379,46,0,8,17,21
"569","HERMOSA","2014","yes",36,35,0,6,21,8
"570","HERMOSA","2015","no",197,22,0,0,16,6
"571","HERMOSA","2015","yes",14,14,0,2,9,3
"572","HERMOSA","2016","no",157,37,0,7,21,9
"573","HERMOSA","2016","yes",8,8,0,2,2,4
"574","HERMOSA","2017","no",374,45,1,3,23,19
"575","HERMOSA","2017","yes",25,26,0,7,16,3
"576","HUMBOLDT PARK","2009","no",1512,336,5,36,165,135
"577","HUMBOLDT PARK","2009","yes",124,128,0,18,61,49
"578","HUMBOLDT PARK","2010","no",1470,341,0,30,169,142
"579","HUMBOLDT PARK","2010","yes",117,116,1,13,57,46
"580","HUMBOLDT PARK","2011","no",1368,347,1,29,174,144
"581","HUMBOLDT PARK","2011","yes",88,83,3,12,46,25
"582","HUMBOLDT PARK","2012","no",1404,302,2,30,147,125
"583","HUMBOLDT PARK","2012","yes",112,119,0,22,59,38
"584","HUMBOLDT PARK","2013","no",1351,315,3,47,142,126
"585","HUMBOLDT PARK","2013","yes",107,108,0,13,59,36
"586","HUMBOLDT PARK","2014","no",1349,314,0,41,159,114
"587","HUMBOLDT PARK","2014","yes",93,88,0,9,62,17
"588","HUMBOLDT PARK","2015","no",891,148,1,16,63,69
"589","HUMBOLDT PARK","2015","yes",55,54,4,9,36,9
"590","HUMBOLDT PARK","2016","no",870,191,1,21,79,91
"591","HUMBOLDT PARK","2016","yes",57,54,0,6,22,26
"592","HUMBOLDT PARK","2017","no",1416,332,0,44,150,138
"593","HUMBOLDT PARK","2017","yes",85,90,1,21,53,16
"594","HYDE PARK","2009","no",470,110,0,17,51,42
"595","HYDE PARK","2009","yes",41,39,0,3,24,12
"596","HYDE PARK","2010","no",507,146,2,28,61,57
"597","HYDE PARK","2010","yes",39,39,0,7,21,11
"598","HYDE PARK","2011","no",498,132,1,21,69,42
"599","HYDE PARK","2011","yes",25,26,0,4,11,11
"600","HYDE PARK","2012","no",484,114,1,12,59,43
"601","HYDE PARK","2012","yes",30,33,0,4,21,8
"602","HYDE PARK","2013","no",484,110,0,8,52,50
"603","HYDE PARK","2013","yes",42,44,0,5,29,10
"604","HYDE PARK","2014","no",573,96,0,5,55,36
"605","HYDE PARK","2014","yes",41,39,0,8,20,11
"606","HYDE PARK","2015","no",380,77,2,10,37,30
"607","HYDE PARK","2015","yes",24,23,0,4,15,4
"608","HYDE PARK","2016","no",403,91,2,5,41,45
"609","HYDE PARK","2016","yes",17,16,0,1,8,7
"610","HYDE PARK","2017","no",581,103,0,10,48,45
"611","HYDE PARK","2017","yes",24,22,0,4,16,2
"612","IRVING PARK","2009","no",1935,246,2,27,126,93
"613","IRVING PARK","2009","yes",64,61,0,9,26,26
"614","IRVING PARK","2010","no",1985,280,2,24,136,120
"615","IRVING PARK","2010","yes",73,77,0,9,36,32
"616","IRVING PARK","2011","no",1940,261,1,25,128,108
"617","IRVING PARK","2011","yes",64,65,0,8,36,21
"618","IRVING PARK","2012","no",1997,267,1,20,134,113
"619","IRVING PARK","2012","yes",79,77,0,8,47,22
"620","IRVING PARK","2013","no",2039,255,1,20,141,94
"621","IRVING PARK","2013","yes",66,61,0,6,37,18
"622","IRVING PARK","2014","no",2088,261,1,26,126,109
"623","IRVING PARK","2014","yes",83,80,0,9,53,18
"624","IRVING PARK","2015","no",1679,206,0,25,99,82
"625","IRVING PARK","2015","yes",28,28,1,7,15,6
"626","IRVING PARK","2016","no",1611,194,0,23,94,77
"627","IRVING PARK","2016","yes",29,32,0,5,14,13
"628","IRVING PARK","2017","no",2068,271,1,16,160,95
"629","IRVING PARK","2017","yes",57,56,0,7,39,10
"630","JEFFERSON PARK","2009","no",851,119,1,9,50,60
"631","JEFFERSON PARK","2009","yes",32,32,0,9,16,7
"632","JEFFERSON PARK","2010","no",880,154,0,11,60,83
"633","JEFFERSON PARK","2010","yes",23,22,0,5,10,7
"634","JEFFERSON PARK","2011","no",850,127,0,11,66,50
"635","JEFFERSON PARK","2011","yes",15,16,0,3,4,9
"636","JEFFERSON PARK","2012","no",936,145,1,17,60,68
"637","JEFFERSON PARK","2012","yes",24,22,1,1,13,8
"638","JEFFERSON PARK","2013","no",970,164,0,9,76,79
"639","JEFFERSON PARK","2013","yes",29,27,0,5,14,8
"640","JEFFERSON PARK","2014","no",1035,158,1,13,75,70
"641","JEFFERSON PARK","2014","yes",27,25,1,5,14,6
"642","JEFFERSON PARK","2015","no",657,69,0,7,45,17
"643","JEFFERSON PARK","2015","yes",16,15,1,3,11,1
"644","JEFFERSON PARK","2016","no",600,78,0,9,32,37
"645","JEFFERSON PARK","2016","yes",6,6,0,1,3,2
"646","JEFFERSON PARK","2017","no",973,136,0,15,79,42
"647","JEFFERSON PARK","2017","yes",20,19,0,3,11,5
"648","KENWOOD","2009","no",289,73,2,8,31,34
"649","KENWOOD","2009","yes",25,24,0,4,9,11
"650","KENWOOD","2010","no",256,65,1,7,42,16
"651","KENWOOD","2010","yes",20,20,0,0,13,7
"652","KENWOOD","2011","no",252,71,0,6,35,30
"653","KENWOOD","2011","yes",17,19,0,1,8,10
"654","KENWOOD","2012","no",243,70,0,4,36,30
"655","KENWOOD","2012","yes",20,20,0,4,10,6
"656","KENWOOD","2013","no",223,45,1,5,20,20
"657","KENWOOD","2013","yes",24,23,1,2,14,7
"658","KENWOOD","2014","no",320,57,0,9,26,22
"659","KENWOOD","2014","yes",14,16,0,3,8,5
"660","KENWOOD","2015","no",229,59,0,8,29,22
"661","KENWOOD","2015","yes",7,6,0,1,4,1
"662","KENWOOD","2016","no",193,49,0,4,21,24
"663","KENWOOD","2016","yes",11,9,0,1,0,8
"664","KENWOOD","2017","no",278,67,0,6,37,24
"665","KENWOOD","2017","yes",9,7,1,1,6,0
"666","LAKE VIEW","2009","no",1773,218,2,30,89,99
"667","LAKE VIEW","2009","yes",155,148,1,22,58,68
"668","LAKE VIEW","2010","no",1691,232,2,18,91,123
"669","LAKE VIEW","2010","yes",183,182,0,20,100,62
"670","LAKE VIEW","2011","no",1699,241,1,31,89,121
"671","LAKE VIEW","2011","yes",150,149,1,15,82,52
"672","LAKE VIEW","2012","no",1582,208,1,29,85,94
"673","LAKE VIEW","2012","yes",179,175,0,25,81,69
"674","LAKE VIEW","2013","no",1655,228,2,38,89,101
"675","LAKE VIEW","2013","yes",179,162,2,16,100,46
"676","LAKE VIEW","2014","no",1670,189,0,18,82,89
"677","LAKE VIEW","2014","yes",165,156,0,15,104,37
"678","LAKE VIEW","2015","no",1182,141,0,25,53,63
"679","LAKE VIEW","2015","yes",85,80,1,5,50,25
"680","LAKE VIEW","2016","no",999,109,1,15,55,39
"681","LAKE VIEW","2016","yes",91,90,1,10,39,41
"682","LAKE VIEW","2017","no",1361,171,0,8,74,89
"683","LAKE VIEW","2017","yes",114,120,1,24,74,22
"684","LINCOLN PARK","2009","no",1728,289,0,35,114,140
"685","LINCOLN PARK","2009","yes",152,155,0,20,73,62
"686","LINCOLN PARK","2010","no",1563,239,0,14,99,126
"687","LINCOLN PARK","2010","yes",129,127,0,13,65,49
"688","LINCOLN PARK","2011","no",1560,190,1,13,88,89
"689","LINCOLN PARK","2011","yes",140,138,0,15,75,48
"690","LINCOLN PARK","2012","no",1535,217,0,14,98,105
"691","LINCOLN PARK","2012","yes",129,123,0,22,57,44
"692","LINCOLN PARK","2013","no",1456,199,1,22,109,68
"693","LINCOLN PARK","2013","yes",153,145,0,18,87,40
"694","LINCOLN PARK","2014","no",1467,191,1,19,77,95
"695","LINCOLN PARK","2014","yes",135,126,0,12,78,36
"696","LINCOLN PARK","2015","no",1066,133,1,14,65,54
"697","LINCOLN PARK","2015","yes",57,55,0,9,30,16
"698","LINCOLN PARK","2016","no",830,119,0,5,62,52
"699","LINCOLN PARK","2016","yes",81,77,0,11,40,26
"700","LINCOLN PARK","2017","no",1278,237,0,28,112,97
"701","LINCOLN PARK","2017","yes",70,72,0,7,46,19
"702","LINCOLN SQUARE","2009","no",857,138,0,10,58,70
"703","LINCOLN SQUARE","2009","yes",55,56,0,10,24,22
"704","LINCOLN SQUARE","2010","no",877,149,0,10,67,72
"705","LINCOLN SQUARE","2010","yes",47,49,0,4,24,21
"706","LINCOLN SQUARE","2011","no",793,135,0,10,49,76
"707","LINCOLN SQUARE","2011","yes",53,53,0,7,30,16
"708","LINCOLN SQUARE","2012","no",809,131,2,10,62,59
"709","LINCOLN SQUARE","2012","yes",59,58,1,8,31,19
"710","LINCOLN SQUARE","2013","no",838,131,0,12,51,68
"711","LINCOLN SQUARE","2013","yes",58,54,1,3,32,19
"712","LINCOLN SQUARE","2014","no",876,130,1,8,58,64
"713","LINCOLN SQUARE","2014","yes",56,53,0,4,34,15
"714","LINCOLN SQUARE","2015","no",542,74,1,4,27,43
"715","LINCOLN SQUARE","2015","yes",23,23,0,5,12,6
"716","LINCOLN SQUARE","2016","no",420,75,1,12,40,23
"717","LINCOLN SQUARE","2016","yes",33,35,0,2,17,16
"718","LINCOLN SQUARE","2017","no",718,101,0,4,51,46
"719","LINCOLN SQUARE","2017","yes",41,42,0,7,23,12
"720","LOGAN SQUARE","2009","no",2282,360,3,34,164,162
"721","LOGAN SQUARE","2009","yes",173,165,2,16,68,81
"722","LOGAN SQUARE","2010","no",2264,396,0,51,180,165
"723","LOGAN SQUARE","2010","yes",187,191,0,19,103,69
"724","LOGAN SQUARE","2011","no",2302,403,2,22,199,182
"725","LOGAN SQUARE","2011","yes",179,172,1,21,96,55
"726","LOGAN SQUARE","2012","no",2264,429,2,34,191,204
"727","LOGAN SQUARE","2012","yes",177,174,1,17,92,65
"728","LOGAN SQUARE","2013","no",2220,385,1,38,176,171
"729","LOGAN SQUARE","2013","yes",169,158,0,13,95,50
"730","LOGAN SQUARE","2014","no",2334,409,3,32,195,182
"731","LOGAN SQUARE","2014","yes",179,172,1,19,105,48
"732","LOGAN SQUARE","2015","no",1408,199,0,25,94,80
"733","LOGAN SQUARE","2015","yes",77,76,1,16,44,16
"734","LOGAN SQUARE","2016","no",1281,236,2,31,110,95
"735","LOGAN SQUARE","2016","yes",66,61,0,5,28,28
"736","LOGAN SQUARE","2017","no",1906,293,0,26,133,134
"737","LOGAN SQUARE","2017","yes",105,105,2,15,62,28
"738","LOOP","2009","no",2000,529,2,49,214,266
"739","LOOP","2009","yes",252,263,1,27,129,107
"740","LOOP","2010","no",1991,398,1,35,185,178
"741","LOOP","2010","yes",213,220,1,24,122,74
"742","LOOP","2011","no",1895,401,0,40,207,154
"743","LOOP","2011","yes",199,193,2,21,106,66
"744","LOOP","2012","no",1666,419,1,28,196,195
"745","LOOP","2012","yes",223,224,0,24,120,80
"746","LOOP","2013","no",1685,436,2,55,199,182
"747","LOOP","2013","yes",189,185,0,20,105,60
"748","LOOP","2014","no",1927,409,1,38,175,196
"749","LOOP","2014","yes",193,176,0,20,103,53
"750","LOOP","2015","no",1684,327,1,44,179,104
"751","LOOP","2015","yes",127,131,3,29,71,31
"752","LOOP","2016","no",1622,288,0,37,155,96
"753","LOOP","2016","yes",121,117,1,15,57,45
"754","LOOP","2017","no",2749,390,4,59,202,129
"755","LOOP","2017","yes",151,146,0,26,92,28
"756","LOWER WEST SIDE","2009","no",1154,247,4,30,125,92
"757","LOWER WEST SIDE","2009","yes",69,72,1,11,42,19
"758","LOWER WEST SIDE","2010","no",1255,291,1,17,167,107
"759","LOWER WEST SIDE","2010","yes",46,47,1,7,25,15
"760","LOWER WEST SIDE","2011","no",1160,216,2,30,116,70
"761","LOWER WEST SIDE","2011","yes",55,54,1,9,25,20
"762","LOWER WEST SIDE","2012","no",1191,239,3,20,107,112
"763","LOWER WEST SIDE","2012","yes",58,56,2,6,23,27
"764","LOWER WEST SIDE","2013","no",1188,210,5,32,96,82
"765","LOWER WEST SIDE","2013","yes",48,47,0,8,25,14
"766","LOWER WEST SIDE","2014","no",1384,215,0,27,101,87
"767","LOWER WEST SIDE","2014","yes",54,52,0,8,30,14
"768","LOWER WEST SIDE","2015","no",1030,205,3,15,107,83
"769","LOWER WEST SIDE","2015","yes",24,24,0,7,11,6
"770","LOWER WEST SIDE","2016","no",945,140,3,15,82,43
"771","LOWER WEST SIDE","2016","yes",24,26,0,5,9,12
"772","LOWER WEST SIDE","2017","no",1342,226,0,18,131,77
"773","LOWER WEST SIDE","2017","yes",39,40,1,5,31,4
"774","MCKINLEY PARK","2009","no",570,169,0,30,75,64
"775","MCKINLEY PARK","2009","yes",16,17,0,4,10,3
"776","MCKINLEY PARK","2010","no",521,132,1,16,68,48
"777","MCKINLEY PARK","2010","yes",16,16,0,3,8,5
"778","MCKINLEY PARK","2011","no",471,150,1,13,70,67
"779","MCKINLEY PARK","2011","yes",20,20,0,4,10,6
"780","MCKINLEY PARK","2012","no",524,121,0,15,65,41
"781","MCKINLEY PARK","2012","yes",15,16,0,1,10,5
"782","MCKINLEY PARK","2013","no",559,140,1,13,78,49
"783","MCKINLEY PARK","2013","yes",21,20,0,4,10,6
"784","MCKINLEY PARK","2014","no",606,145,2,20,66,59
"785","MCKINLEY PARK","2014","yes",18,18,0,2,12,4
"786","MCKINLEY PARK","2015","no",477,97,3,7,63,27
"787","MCKINLEY PARK","2015","yes",5,5,0,0,3,2
"788","MCKINLEY PARK","2016","no",460,94,0,17,51,26
"789","MCKINLEY PARK","2016","yes",14,14,0,1,8,5
"790","MCKINLEY PARK","2017","no",588,105,1,13,65,27
"791","MCKINLEY PARK","2017","yes",23,23,1,5,14,4
"792","MONTCLARE","2009","no",255,36,0,3,14,19
"793","MONTCLARE","2009","yes",12,11,0,3,6,2
"794","MONTCLARE","2010","no",287,49,0,8,22,19
"795","MONTCLARE","2010","yes",11,11,0,2,6,3
"796","MONTCLARE","2011","no",242,52,0,7,30,15
"797","MONTCLARE","2011","yes",10,10,0,0,8,2
"798","MONTCLARE","2012","no",267,46,0,6,18,22
"799","MONTCLARE","2012","yes",13,12,0,3,4,5
"800","MONTCLARE","2013","no",272,43,0,5,20,18
"801","MONTCLARE","2013","yes",11,14,0,2,8,4
"802","MONTCLARE","2014","no",280,40,0,1,20,19
"803","MONTCLARE","2014","yes",10,11,0,1,6,4
"804","MONTCLARE","2015","no",172,31,1,4,5,22
"805","MONTCLARE","2015","yes",12,12,0,1,8,3
"806","MONTCLARE","2016","no",146,25,0,4,8,13
"807","MONTCLARE","2016","yes",5,5,0,1,3,1
"808","MONTCLARE","2017","no",243,60,0,13,27,20
"809","MONTCLARE","2017","yes",11,11,0,2,7,2
"810","MORGAN PARK","2009","no",652,156,0,16,68,72
"811","MORGAN PARK","2009","yes",24,24,0,3,10,11
"812","MORGAN PARK","2010","no",576,160,3,13,92,55
"813","MORGAN PARK","2010","yes",26,27,0,1,17,9
"814","MORGAN PARK","2011","no",575,175,3,29,87,59
"815","MORGAN PARK","2011","yes",23,24,0,3,10,11
"816","MORGAN PARK","2012","no",549,132,3,16,64,52
"817","MORGAN PARK","2012","yes",18,18,0,2,13,3
"818","MORGAN PARK","2013","no",552,163,2,17,70,76
"819","MORGAN PARK","2013","yes",19,19,0,3,12,4
"820","MORGAN PARK","2014","no",654,150,0,27,70,53
"821","MORGAN PARK","2014","yes",14,16,0,3,7,6
"822","MORGAN PARK","2015","no",407,120,1,29,59,32
"823","MORGAN PARK","2015","yes",10,9,0,4,3,2
"824","MORGAN PARK","2016","no",389,91,0,13,45,33
"825","MORGAN PARK","2016","yes",14,15,0,1,8,6
"826","MORGAN PARK","2017","no",650,151,0,14,76,61
"827","MORGAN PARK","2017","yes",16,16,0,1,9,6
"828","MOUNT GREENWOOD","2009","no",276,56,0,5,22,29
"829","MOUNT GREENWOOD","2009","yes",9,9,0,1,2,6
"830","MOUNT GREENWOOD","2010","no",245,39,1,4,20,15
"831","MOUNT GREENWOOD","2010","yes",9,9,0,3,2,4
"832","MOUNT GREENWOOD","2011","no",262,57,0,11,33,13
"833","MOUNT GREENWOOD","2011","yes",7,6,1,1,4,1
"834","MOUNT GREENWOOD","2012","no",218,44,0,4,24,16
"835","MOUNT GREENWOOD","2012","yes",6,6,0,0,4,2
"836","MOUNT GREENWOOD","2013","no",275,57,2,6,26,25
"837","MOUNT GREENWOOD","2013","yes",4,3,0,2,0,1
"838","MOUNT GREENWOOD","2014","no",314,73,0,11,35,27
"839","MOUNT GREENWOOD","2014","yes",9,9,0,1,7,1
"840","MOUNT GREENWOOD","2015","no",250,86,1,28,22,36
"841","MOUNT GREENWOOD","2015","yes",3,3,0,0,3,0
"842","MOUNT GREENWOOD","2016","no",210,61,0,8,26,27
"843","MOUNT GREENWOOD","2016","yes",6,5,1,0,3,2
"844","MOUNT GREENWOOD","2017","no",296,64,0,8,26,30
"845","MOUNT GREENWOOD","2017","yes",6,6,0,0,6,0
"846","NEAR NORTH SIDE","2009","no",2578,461,2,49,211,201
"847","NEAR NORTH SIDE","2009","yes",270,272,1,37,123,112
"848","NEAR NORTH SIDE","2010","no",2584,429,0,41,198,190
"849","NEAR NORTH SIDE","2010","yes",257,260,0,29,138,93
"850","NEAR NORTH SIDE","2011","no",2621,385,1,26,172,187
"851","NEAR NORTH SIDE","2011","yes",284,293,2,41,148,104
"852","NEAR NORTH SIDE","2012","no",2383,376,0,27,177,172
"853","NEAR NORTH SIDE","2012","yes",259,258,2,29,143,86
"854","NEAR NORTH SIDE","2013","no",2481,363,1,36,150,177
"855","NEAR NORTH SIDE","2013","yes",292,282,2,29,150,103
"856","NEAR NORTH SIDE","2014","no",2841,423,1,62,177,184
"857","NEAR NORTH SIDE","2014","yes",303,289,1,45,147,97
"858","NEAR NORTH SIDE","2015","no",1787,250,1,29,115,106
"859","NEAR NORTH SIDE","2015","yes",149,147,0,23,82,42
"860","NEAR NORTH SIDE","2016","no",1614,258,0,19,133,106
"861","NEAR NORTH SIDE","2016","yes",147,141,6,18,57,66
"862","NEAR NORTH SIDE","2017","no",3129,430,3,52,215,163
"863","NEAR NORTH SIDE","2017","yes",210,214,0,31,128,55
"864","NEAR SOUTH SIDE","2009","no",650,189,0,19,75,95
"865","NEAR SOUTH SIDE","2009","yes",22,21,0,3,8,10
"866","NEAR SOUTH SIDE","2010","no",627,153,1,19,65,69
"867","NEAR SOUTH SIDE","2010","yes",29,29,0,4,14,11
"868","NEAR SOUTH SIDE","2011","no",607,116,0,12,60,44
"869","NEAR SOUTH SIDE","2011","yes",31,31,0,2,21,8
"870","NEAR SOUTH SIDE","2012","no",652,183,1,22,97,64
"871","NEAR SOUTH SIDE","2012","yes",36,35,0,2,20,13
"872","NEAR SOUTH SIDE","2013","no",733,170,2,11,69,90
"873","NEAR SOUTH SIDE","2013","yes",30,31,0,6,18,7
"874","NEAR SOUTH SIDE","2014","no",811,209,2,20,102,87
"875","NEAR SOUTH SIDE","2014","yes",36,33,0,7,16,10
"876","NEAR SOUTH SIDE","2015","no",718,178,1,19,87,72
"877","NEAR SOUTH SIDE","2015","yes",22,20,1,3,12,5
"878","NEAR SOUTH SIDE","2016","no",846,164,1,14,85,65
"879","NEAR SOUTH SIDE","2016","yes",29,27,0,2,13,12
"880","NEAR SOUTH SIDE","2017","no",1159,229,0,17,133,79
"881","NEAR SOUTH SIDE","2017","yes",31,31,0,2,17,12
"882","NEAR WEST SIDE","2009","no",3705,851,4,81,438,332
"883","NEAR WEST SIDE","2009","yes",189,197,1,21,97,79
"884","NEAR WEST SIDE","2010","no",3957,813,5,76,425,312
"885","NEAR WEST SIDE","2010","yes",187,181,2,22,95,64
"886","NEAR WEST SIDE","2011","no",3973,808,2,78,422,308
"887","NEAR WEST SIDE","2011","yes",190,193,0,26,100,67
"888","NEAR WEST SIDE","2012","no",3993,834,3,105,403,326
"889","NEAR WEST SIDE","2012","yes",207,198,1,17,103,78
"890","NEAR WEST SIDE","2013","no",4012,915,4,112,445,358
"891","NEAR WEST SIDE","2013","yes",198,184,4,33,103,48
"892","NEAR WEST SIDE","2014","no",4319,807,4,109,396,302
"893","NEAR WEST SIDE","2014","yes",201,192,2,24,122,46
"894","NEAR WEST SIDE","2015","no",3584,642,2,84,319,239
"895","NEAR WEST SIDE","2015","yes",125,123,2,19,72,32
"896","NEAR WEST SIDE","2016","no",3296,600,0,55,349,196
"897","NEAR WEST SIDE","2016","yes",119,115,0,8,45,62
"898","NEAR WEST SIDE","2017","no",4793,844,11,79,483,282
"899","NEAR WEST SIDE","2017","yes",159,160,0,25,95,40
"900","NEW CITY","2009","no",798,193,2,27,84,82
"901","NEW CITY","2009","yes",57,59,0,6,32,21
"902","NEW CITY","2010","no",751,172,1,17,91,64
"903","NEW CITY","2010","yes",52,55,1,5,30,20
"904","NEW CITY","2011","no",713,226,1,18,111,97
"905","NEW CITY","2011","yes",56,57,1,5,34,18
"906","NEW CITY","2012","no",664,173,2,13,95,65
"907","NEW CITY","2012","yes",46,45,1,5,28,12
"908","NEW CITY","2013","no",719,162,3,27,80,55
"909","NEW CITY","2013","yes",45,45,0,7,23,15
